日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 99/01/04,"20,083,125","1,132,155,005",56.45,56.65,56.05,56.5,0.05,"1,624"
 99/01/05,"16,453,854","932,015,376",56.8,56.9,56.15,56.5,0.0,"1,866"
 99/01/06,"19,012,172","1,087,143,829",56.5,57.75,56.5,57.55,1.05,"2,958"
 99/01/07,"14,110,575","814,344,344",57.6,58.15,57.3,57.4,-0.15,"1,846"
 99/01/08,"11,342,752","651,830,965",57.3,57.75,57.05,57.75,0.35,"1,493"
 99/01/11,"11,581,081","670,025,579",57.1,58.05,57.1,57.9,0.15,"1,636"
 99/01/12,"7,306,217","420,473,484",57.55,57.85,57.25,57.6,-0.3,"1,329"
 99/01/13,"16,686,518","948,986,977",57.05,57.15,56.7,56.75,-0.85,"2,021"
 99/01/14,"9,978,365","570,406,499",56.8,57.6,56.8,57.45,0.7,"1,208"
 99/01/15,"8,425,543","485,743,844",57.35,57.95,57.35,57.8,0.35,"1,020"
 99/01/18,"5,019,674","288,586,818",57.45,57.7,57.3,57.5,-0.3,767
 99/01/19,"6,724,054","382,797,005",57.5,57.7,56.5,56.75,-0.75,"1,461"
 99/01/20,"23,397,890","1,318,003,114",56.8,56.95,56.1,56.4,-0.35,"1,627"
 99/01/21,"13,862,156","776,395,581",56.15,56.4,55.75,55.95,-0.45,"1,880"
 99/01/22,"29,477,562","1,612,081,382",55.2,55.2,54.35,54.4,-1.55,"3,929"
 99/01/25,"12,845,252","695,785,374",53.95,54.45,53.8,54.2,-0.2,"2,147"
 99/01/26,"26,395,774","1,416,284,559",54.15,54.55,52.75,52.95,-1.25,"4,558"
 99/01/27,"14,855,839","787,198,926",52.95,53.3,52.7,52.9,-0.05,"2,182"
 99/01/28,"12,622,891","676,089,714",53.1,54.2,53.1,54.05,1.15,"1,822"
 99/01/29,"13,799,786","727,944,433",52.95,53.25,52.2,53.0,-1.05,"2,804"
 99/02/01,"19,637,117","1,030,361,997",53.15,53.2,51.95,52.4,-0.6,"2,590"
 99/02/02,"11,987,878","625,747,966",52.95,52.95,51.6,51.85,-0.55,"2,350"
 99/02/03,"13,598,236","714,184,048",52.1,52.8,52.05,52.75,0.9,"1,744"
 99/02/04,"5,940,528","312,541,875",52.75,52.85,52.35,52.55,-0.2,982
 99/02/05,"24,216,962","1,231,585,083",51.25,51.3,50.5,50.75,-1.8,"5,321"
 99/02/06,"20,632,533","1,049,372,801",50.8,51.3,50.3,51.2,0.45,"2,283"
 99/02/08,"18,165,694","924,930,778",51.05,51.2,50.7,50.85,-0.35,"1,878"
 99/02/09,"11,269,571","578,396,177",50.85,51.65,50.75,51.55,0.7,"2,082"
 99/02/10,"11,276,655","586,447,115",51.95,52.25,51.7,52.1,0.55,"2,214"
 99/02/22,"11,224,937","594,117,801",53.05,53.15,52.6,52.6,0.5,"2,098"
 99/02/23,"9,598,427","504,580,432",52.6,52.75,52.2,52.6,0.0,"1,240"
 99/02/24,"11,037,905","577,819,651",52.15,52.55,52.15,52.25,-0.35,"1,024"
 99/02/25,"20,470,988","1,062,022,326",52.25,52.3,51.35,51.65,-0.6,"2,193"
 99/02/26,"9,391,284","483,837,797",51.65,51.75,51.2,51.55,-0.1,"1,366"
 99/03/01,"13,647,130","715,419,506",51.5,52.95,51.5,52.8,1.25,"2,066"
 99/03/02,"9,997,438","528,112,268",52.75,53.1,52.55,52.65,-0.15,"1,225"
 99/03/03,"8,764,746","462,426,932",52.7,53.1,52.5,52.65,0.0,"1,041"
 99/03/04,"8,149,453","426,373,974",52.75,52.9,51.8,52.2,-0.45,"1,295"
 99/03/05,"13,619,167","720,117,212",52.85,53.2,52.5,52.95,0.75,"1,541"
 99/03/08,"16,985,546","907,762,324",53.3,53.65,53.25,53.65,0.7,"2,472"
 99/03/09,"7,770,200","417,203,238",53.7,53.8,53.55,53.8,0.15,"1,070"
 99/03/10,"6,842,414","367,950,915",53.85,53.95,53.45,53.8,0.0,"1,009"
 99/03/11,"6,657,965","358,344,611",54.0,54.0,53.5,53.65,-0.15,"1,013"
 99/03/12,"12,617,367","675,578,756",53.7,53.7,53.4,53.6,-0.05,753
 99/03/15,"10,347,597","548,486,587",53.5,53.55,52.7,52.85,-0.75,"1,374"
 99/03/16,"13,206,323","698,390,628",52.8,53.1,52.75,53.1,0.25,869
 99/03/17,"14,910,569","802,914,397",53.45,54.15,53.4,54.15,1.05,"2,346"
 99/03/18,"8,609,032","467,282,129",54.25,54.55,54.05,54.4,0.25,"1,693"
 99/03/19,"5,394,422","292,259,307",54.45,54.45,54.0,54.25,-0.15,926
 99/03/22,"7,376,253","395,093,362",54.0,54.0,53.25,53.7,-0.55,"1,331"
 99/03/23,"8,078,483","432,328,487",53.7,53.8,53.25,53.35,-0.35,"1,116"
 99/03/24,"19,134,856","1,025,228,740",53.5,53.75,53.45,53.5,0.15,"1,050"
 99/03/25,"14,547,242","774,041,367",53.35,53.7,52.9,53.5,0.0,"1,523"
 99/03/26,"11,520,708","617,381,687",53.25,54.15,52.9,54.0,0.5,"1,722"
 99/03/29,"16,278,063","885,608,225",54.15,54.55,54.15,54.5,0.5,"1,980"
 99/03/30,"7,592,145","413,272,436",54.5,54.55,54.35,54.45,-0.05,782
 99/03/31,"10,909,581","592,799,089",54.35,54.45,54.2,54.25,-0.2,"1,245"
 99/04/01,"12,561,233","687,176,060",54.25,54.9,54.25,54.75,0.5,"1,709"
 99/04/02,"5,653,319","309,707,002",54.75,54.9,54.65,54.75,0.0,852
 99/04/06,"15,860,446","878,633,030",54.9,55.55,54.9,55.3,0.55,"2,226"
 99/04/07,"6,597,232","365,506,991",55.35,55.5,55.3,55.4,0.1,923
 99/04/08,"9,030,400","498,542,339",55.4,55.5,54.85,55.05,-0.35,"1,405"
 99/04/09,"6,178,841","340,098,149",55.0,55.2,54.8,55.2,0.15,733
 99/04/12,"8,812,066","488,117,349",55.45,55.55,55.2,55.45,0.25,902
 99/04/13,"11,543,557","633,544,169",55.2,55.2,54.6,54.8,-0.65,"1,112"
 99/04/14,"8,277,800","454,766,244",55.0,55.2,54.8,55.2,0.4,825
 99/04/15,"12,427,363","690,185,306",55.35,55.8,55.35,55.55,0.35,"1,266"
 99/04/16,"11,167,998","615,453,484",55.5,55.5,54.9,55.2,-0.35,"1,118"
 99/04/19,"14,074,788","763,951,383",54.65,54.65,53.65,53.65,-1.55,"2,513"
 99/04/20,"6,757,051","364,420,104",53.9,54.1,53.75,53.85,0.2,"1,054"
 99/04/21,"7,299,746","397,399,540",54.15,54.6,54.15,54.55,0.7,993
 99/04/22,"8,147,167","440,887,478",54.2,54.5,53.9,54.45,-0.1,922
 99/04/23,"8,918,587","487,267,163",54.45,54.75,54.45,54.75,0.3,"1,331"
 99/04/26,"11,153,959","620,844,754",55.25,55.9,55.25,55.9,1.15,"2,162"
 99/04/27,"5,510,962","307,309,125",55.9,55.95,55.6,55.85,-0.05,859
 99/04/28,"7,436,672","408,343,757",54.75,55.35,54.55,55.25,-0.6,"1,336"
 99/04/29,"5,085,679","280,045,157",55.25,55.3,54.85,55.0,-0.25,657
 99/04/30,"5,323,236","294,390,784",55.4,55.7,54.7,54.8,-0.2,"1,128"
 99/05/03,"5,880,214","320,630,347",54.5,54.85,54.25,54.45,-0.35,975
 99/05/04,"10,132,491","552,286,502",54.75,54.8,54.2,54.5,0.05,"1,084"
 99/05/05,"20,067,366","1,064,924,964",53.4,53.45,52.85,53.0,-1.5,"3,590"
 99/05/06,"30,653,488","1,601,892,614",52.95,52.95,51.8,51.95,-1.05,"3,956"
 99/05/07,"28,001,716","1,445,694,259",51.3,52.0,51.05,51.95,0.0,"3,301"
 99/05/10,"11,114,830","578,961,008",52.15,52.5,51.85,52.4,0.45,"1,891"
 99/05/11,"9,244,195","485,470,413",52.6,52.8,52.05,52.2,-0.2,"1,820"
 99/05/12,"7,850,575","409,831,533",52.1,52.5,51.95,52.1,-0.1,953
 99/05/13,"8,130,823","430,734,345",52.65,53.4,52.6,53.25,1.15,"1,679"
 99/05/14,"12,843,843","681,354,548",53.05,53.2,52.9,53.1,-0.15,963
 99/05/17,"12,090,447","628,968,119",52.6,52.6,51.7,51.9,-1.2,"2,360"
 99/05/18,"5,846,434","303,730,047",52.1,52.2,51.8,52.0,0.1,"1,029"
 99/05/19,"15,988,302","819,466,719",51.5,51.55,50.95,51.45,-0.55,"2,807"
 99/05/20,"13,856,441","708,054,765",51.45,51.45,50.75,50.8,-0.65,"2,203"
 99/05/21,"29,922,893","1,486,407,923",50.0,50.0,49.3,49.75,-1.05,"4,866"
 99/05/24,"6,297,256","316,625,250",49.9,50.55,49.9,50.45,0.7,"1,667"
 99/05/25,"23,038,218","1,133,837,721",50.0,50.0,48.65,49.12,-1.33,"4,756"
 99/05/26,"14,716,336","724,842,670",49.74,49.8,49.0,49.32,0.2,"2,280"
 99/05/27,"15,866,404","780,824,830",49.32,49.66,48.75,49.66,0.34,"2,237"
 99/05/28,"9,410,589","470,603,619",50.1,50.3,49.76,49.87,0.21,"2,219"
 99/05/31,"4,494,253","224,528,644",50.0,50.15,49.72,50.1,0.23,"1,137"
 99/06/01,"5,340,983","266,323,650",50.0,50.2,49.6,49.83,-0.27,"1,366"
 99/06/02,"8,608,494","425,075,982",49.52,49.83,48.8,49.05,-0.78,"1,985"
 99/06/03,"5,437,137","272,097,302",49.8,50.2,49.75,50.2,1.15,"1,512"
 99/06/04,"3,336,979","166,897,096",50.2,50.2,49.94,50.05,-0.15,613
 99/06/07,"15,955,142","773,811,848",48.85,48.85,48.3,48.74,-1.31,"3,896"
